ggen,paricle,ja,fr,de,zh-cn,it,es,ru,el,da
synchronization,名詞,同期,la synchronisation,Synchronisation,同步,sincronizzazione,sincronización,синхронизация,συγχρονισμός,Synkronisering
tacitly,副詞,暗に,l'tacite,stillschweigend,在默认,tacitamente,tácitamente,молчаливо,σιωπηλός,Stiltiende
task,名詞,仕事,la tâche,Aufgabe,任务,compito,tarea,задача,έργο,opgave
term,名詞,項,terme,Begriff,期限,termine,término,срок,όρος,semester
terms,名詞 (複数形),-> term,les termes,Begriffe,条款,termini,términos,условия,όροι,vilkår
test,動詞,テストする,test,Test,考试,test,prueba,тест,δοκιμή,prøve
tested,動詞 (過去分詞),-> test,test,getestet,测试,testato,probado,протестирован,δοκιμασμένος,testet
themselves,代名詞,自分自身,eux-mêmes,sich,在自己,loro stessi,ellos mismos,сами себя,τους εαυτούς τους,dem selv
theorem,名詞,定理,théorème,Satz,定理,teorema,teorema,Теорема,θεώρημα,sætning
therefrom,副詞,そこから,ci,daraus,由此将,esso,de eso,Поэтому,εκ τούτου,derfra
thereof,副詞,その,de celui-ci,davon,其在,di ciò,del mismo,это,τούτου,deraf
thereto,副詞,これに,l'y,daran,其在,ad esso,al mismo,это,εκεί,dertil
third,名詞、形容詞,三番,troisième,dritte,第三,Terzo,tercera,в третьих,τρίτος,tredje
thought,名詞,思想 -> think,la pensée,Gedanke,那个想法,pensiero,pensamiento,мысль,σκέψη,tanke
towards,前置詞,向かって,la direction,Richtung,在对,verso qualcosa,hacia,в направлении,προς,hen imod
translate,動詞,翻訳する,traduire,übersetzen,该翻译,tradurre,traducir,перевести,μεταφράζω,Oversætte
traverse,動詞,横切る,la traverse,Traverse,遍历,attraversare,atravesar,проезд,διασχίζω,Traverse
twofold,形容詞,二倍の,double,zweifache,双重,duplice,doble,двойной,διπλάσιος,todelt
type,名詞,タイプ,type,Typ,方式,genere,escribe,тип,τύπος,type
undergo,動詞,経験する,subir,unterziehen,在经历,subire,someterse,проходить,υφίσταμαι,gennemgå
understand,動詞,わかる,la comprendre,verstehen,的理解,comprendere,comprender,понять,καταλαβαίνουν,forstå
unipolar,形容詞,単極の,unipolaires,unipolare,单极,unipolare,unipolar,Unipolar,μονοπολικός,unipolar
universal,形容詞,普遍的な,l'universel,universelle,通用,universale,universal,универсальный,Παγκόσμιος,universel
universally,副詞,普遍的に,l'universel,allgemeinhin,普遍,universalmente,universalmente,универсально,καθολικά,universelt
unsuccessful,形容詞,不成功な,l'échec,unterliegende,不成功,senza esito,fracasado,безуспешно,ανεπιτυχής,mislykket
until,前置詞,まで,UNTIL,bis,在直到,Fino a,Hasta que,до того как,μέχρι,så længe
usually,副詞,通常,plus souvent,in der Regel,平时,Generalmente,normalmente,обычно,συνήθως,som regel
valuable,形容詞,貴重な,la valeur,wertvolle,有价值的,prezioso,valioso,ценный,πολύτιμος,værdifuld
variety,名詞,多様性,la variété,Vielfalt,品种,varietà,variedad,разнообразие,ποικιλία,bred vifte
vary,動詞,変わる,la varient,variieren,的变化,variare,variar,отличаться,ποικίλλω,variere
vector-product,名詞,ベクトル積,vecteur-produit,Vektor-Produkt,向量积,prodotto vettoriale,vector productora,векторный продукт,διανυσματικό προϊόν,Vector-produkt
verbally,副詞,言葉で,verbalement la,verbal,在口头上,verbalmente,verbalmente,устно,προφορικά,verbalt
version,名詞,版,la version,Version,版本,versione,versión,версия,εκδοχή,version
wave-normal,名詞,波面の法線,l'onde normale,Wellen normalen,波法线,onda-normale,ola normal,волновой нормальный,κανονικός κύματος,bølge-normal
wave-train,名詞,波,train d'ondes,Wellenzug,在波列,tratto d'onda,trenza de onda,волновой пост,κυματοδόχοι,Bølgetog
ways,名詞 (複数形),-> way,les chemins,Wege,道路,modi,maneras,Пути,τρόποι,måder
whence,疑問副詞,どこから,où le,von wo aus,在那里,da dove,De dónde,откуда,από πού,hvorfra
while,接続詞,と同時に,tout,Während,在同时,mentre,tiempo,пока,ενώ,mens
whole,形容詞,全体,la totalité,Ganze,整体,totale,entero,весь,ολόκληρος,hel
word,名詞,言葉、単語,mot,Wort,这个单词,parola,palabra,слово,λέξη,ord
worthy,形容詞,価値がある,digne,würdigen,当之无愧,degno,valioso,достойный,άξιος,værdig
write,動詞,書く,l'écrit,Schreib,写,scrivere,escribe,записывать,γράφω,skrive
reflect,動詞,反映する、反射する,reflet,reflektieren,在反映,riflettere,reflejar,отражать,κατοπτρίζω,afspejle
